tile,xoge,yoge
4,5,40
4,5,45
4,5,50
4,5,55
4,5,60
4,5,65
4,5,70
4,5,75
4,5,80
4,5,85
4,10,5
4,10,10
4,10,15
4,10,20
4,10,25
4,10,30
4,10,35
4,10,40
4,10,45
4,10,50
4,10,55
4,10,60
4,10,65
4,10,70
4,10,75
4,10,80
4,10,85
4,15,5
4,15,10
4,15,15
4,15,20
4,15,25
4,15,30
4,15,35
4,15,40
4,15,45
4,15,50
4,15,55
4,15,60
4,15,65
4,15,70
4,15,75
4,15,80
4,15,85
4,20,5
4,20,10
4,20,15
4,20,20
4,20,25
4,20,30
4,20,35
4,20,40
4,20,45
4,20,50
4,20,55
4,20,60
4,20,65
4,20,70
4,20,75
4,20,80
4,20,85
4,25,5
4,25,10
4,25,15
4,25,20
4,25,25
4,25,30
4,25,35
4,25,40
4,25,45
4,25,50
4,25,55
4,25,60
4,25,65
4,25,70
4,25,75
4,25,80
4,30,5
4,30,10
4,30,15
4,30,20
4,30,25
4,30,30
4,30,35
4,30,40
4,30,45
4,30,50
4,30,55
4,30,60
4,30,65
4,30,70
4,30,75
4,30,80
4,35,5
4,35,10
4,35,15
4,35,20
4,35,25
4,35,30
4,35,35
4,35,40
4,35,45
4,35,50
4,35,55
4,35,60
4,35,65
4,35,70
4,35,75
4,35,80
4,40,5
4,40,10
4,40,15
4,40,20
4,40,25
4,40,30
4,40,35
4,40,40
4,40,45
4,40,50
4,40,55
4,45,5
4,45,10
4,45,15
4,45,20
4,45,25
4,45,30
4,45,35
4,45,40
4,45,45
4,45,50
4,45,55
4,50,5
4,50,10
4,50,15
4,50,20
4,50,25
4,50,30
4,50,35
4,50,40
4,50,45
4,50,50
4,50,55
4,55,5
4,55,10
4,55,15
4,55,20
4,55,25
4,55,30
4,55,35
4,55,40
4,55,45
4,55,50
4,55,55
4,60,5
4,60,10
4,60,15
4,60,20
4,60,25
4,60,30
4,60,35
4,60,40
4,60,45
4,60,50
4,60,55
4,65,5
4,65,10
4,65,15
4,65,20
4,65,25
4,70,5
4,70,10
4,70,15
4,70,20
4,70,25
4,75,5
4,75,10
4,75,15
4,75,20
4,75,25
4,80,5
4,80,10
4,80,15
4,80,20
4,80,25
4,85,5
4,85,10
4,85,15
4,85,20
4,85,25
5,5,5
5,10,5
5,10,10
5,15,5
5,15,10
5,35,5
5,60,5
5,60,10
5,65,5
5,65,10
5,75,5
5,75,10
5,75,15
5,75,20
5,80,5
5,80,10
5,80,15
5,80,20
5,85,5
5,85,10
5,85,15
5,85,20
5,85,25
6,5,15
6,5,20
6,5,25
6,5,30
6,5,35
6,5,40
6,5,45
6,5,50
6,5,55
6,5,60
6,5,65
6,10,15
6,10,20
6,10,25
6,10,30
6,10,45
6,10,50
6,10,55
6,15,20
6,15,25
6,15,45
6,15,50
6,15,55
6,20,5
6,35,20
6,35,30
6,35,35
6,35,40
6,45,20
6,45,30
6,45,35
6,45,40
6,45,45
6,50,10
6,50,15
6,50,30
6,50,35
6,50,40
6,50,45
6,50,50
6,55,15
6,55,20
6,55,25
6,55,30
6,55,35
6,55,40
6,55,45
6,55,50
6,55,55
6,55,60
6,60,10
6,60,15
6,60,20
6,60,25
6,60,30
6,60,35
6,60,40
6,60,45
6,60,50
6,60,55
6,60,60
6,65,10
6,65,15
6,65,20
6,65,25
6,65,30
6,65,35
6,65,40
6,65,45
6,65,50
6,65,55
6,65,60
6,70,10
6,70,15
6,70,20
6,70,25
6,70,30
6,70,35
6,70,40
6,70,45
6,70,50
6,70,55
6,70,60
6,70,65
6,75,30
6,75,35
6,75,40
6,75,45
6,75,50
6,75,55
6,75,60
6,75,65
6,80,25
6,80,30
6,80,35
6,80,40
6,80,45
6,80,50
6,80,55
6,80,60
6,80,65
6,80,70
6,85,30
6,85,35
6,85,40
6,85,45
6,85,50
6,85,55
6,85,60
6,85,65
6,85,70
7,45,20
7,45,25
7,45,30
7,45,35
7,45,40
7,45,45
7,45,50
7,45,55
7,45,60
7,45,65
7,45,70
7,45,75
7,45,80
7,45,85
7,50,10
7,50,15
7,50,20
7,50,25
7,50,30
7,50,35
7,50,40
7,50,45
7,50,50
7,50,55
7,50,60
7,50,65
7,50,70
7,50,75
7,50,80
7,50,85
7,55,5
7,55,10
7,55,15
7,55,20
7,55,25
7,55,30
7,55,35
7,55,40
7,55,45
7,55,50
7,55,55
7,55,60
7,55,65
7,55,70
7,55,75
7,55,80
7,55,85
7,60,5
7,60,10
7,60,15
7,60,20
7,60,25
7,60,30
7,60,35
7,60,40
7,60,45
7,60,50
7,60,55
7,60,60
7,60,65
7,60,70
7,60,75
7,60,80
7,60,85
7,65,5
7,65,10
7,65,15
7,65,20
7,65,25
7,65,30
7,65,35
7,65,40
7,65,45
7,65,50
7,65,55
7,65,60
7,65,65
7,65,70
7,65,75
7,65,80
7,65,85
7,70,5
7,70,10
7,70,15
7,70,20
7,70,25
7,70,30
7,70,35
7,70,40
7,70,45
7,70,50
7,70,55
7,70,60
7,70,65
7,70,70
7,70,75
7,70,80
7,70,85
7,75,5
7,75,10
7,75,15
7,75,20
7,75,25
7,75,30
7,75,35
7,75,40
7,75,45
7,75,50
7,75,55
7,75,60
7,75,65
7,75,70
7,75,75
7,75,80
7,75,85
7,80,5
7,80,10
7,80,15
7,80,20
7,80,25
7,80,30
7,80,35
7,80,40
7,80,45
7,80,50
7,80,55
7,80,60
7,80,65
7,80,70
7,80,75
7,80,80
7,80,85
7,85,5
7,85,10
7,85,15
7,85,20
7,85,25
7,85,30
7,85,35
7,85,40
7,85,45
7,85,50
7,85,70
7,85,75
7,85,80
7,85,85
8,5,5
8,5,10
8,5,15
8,5,20
8,5,25
8,5,30
8,5,35
8,5,40
8,5,45
8,5,50
8,5,55
8,5,60
8,5,65
8,5,70
8,5,75
8,5,80
8,5,85
8,10,5
8,10,10
8,10,15
8,10,20
8,10,25
8,10,30
8,10,35
8,10,40
8,10,45
8,10,50
8,10,55
8,10,60
8,10,65
8,10,70
8,10,75
8,10,80
8,10,85
8,15,5
8,15,10
8,15,15
8,15,20
8,15,25
8,15,30
8,15,35
8,15,40
8,15,45
8,15,50
8,15,55
8,15,60
8,15,65
8,15,70
8,15,75
8,15,80
8,15,85
8,20,25
8,20,30
8,20,35
8,20,40
8,20,45
8,20,50
8,20,55
8,20,60
8,20,65
8,20,70
8,20,75
8,20,80
8,20,85
8,25,25
8,25,30
8,25,35
8,25,40
8,25,45
8,25,50
8,25,55
8,25,60
8,25,65
8,25,70
8,25,75
8,25,80
8,25,85
8,30,30
8,30,35
8,30,40
8,30,45
8,30,50
8,30,55
8,30,60
8,30,65
8,30,70
8,30,75
8,30,80
8,30,85
8,35,55
8,35,60
8,35,65
8,35,70
8,35,75
8,35,80
8,35,85
8,40,55
8,40,60
8,40,65
8,40,70
8,40,75
8,40,80
8,40,85
8,45,20
8,45,25
8,45,30
8,45,35
8,45,40
8,45,45
8,45,50
8,45,55
8,45,60
8,45,65
8,45,70
8,45,75
8,45,80
8,45,85
8,50,20
8,50,25
8,50,30
8,50,35
8,50,40
8,50,45
8,50,50
8,50,55
8,50,60
8,50,65
8,50,70
8,50,75
8,50,80
8,50,85
8,55,25
8,55,30
8,55,35
8,55,40
8,55,45
8,55,50
8,55,55
8,55,60
8,55,65
8,55,70
8,55,75
8,55,80
8,55,85
8,60,15
8,60,20
8,60,25
8,60,35
8,60,40
8,60,45
8,60,50
8,60,55
8,60,60
8,60,65
8,60,70
8,60,75
8,60,80
8,60,85
8,65,10
8,65,15
8,65,20
8,65,25
8,65,35
8,65,40
8,65,45
8,65,50
8,65,55
8,65,60
8,65,65
8,65,70
8,65,75
8,65,80
8,65,85
8,70,5
8,70,10
8,70,15
8,70,20
8,70,35
8,70,40
8,70,45
8,70,50
8,70,55
8,70,60
8,70,65
8,70,70
8,70,75
8,70,80
8,70,85
8,75,5
8,75,10
8,75,15
8,75,20
8,75,25
8,75,30
8,75,35
8,75,40
8,75,45
8,75,50
8,75,55
8,75,60
8,75,65
8,75,70
8,75,75
8,75,80
8,75,85
8,80,5
8,80,10
8,80,15
8,80,20
8,80,25
8,80,30
8,80,35
8,80,40
8,80,45
8,80,50
8,80,55
8,80,60
8,80,65
8,80,70
8,80,75
8,80,80
8,80,85
8,85,5
8,85,10
8,85,15
8,85,20
8,85,25
8,85,30
8,85,35
8,85,40
8,85,45
8,85,50
8,85,55
8,85,60
8,85,65
8,85,70
8,85,75
8,85,80
8,85,85
9,5,5
9,5,10
9,5,15
9,5,20
9,5,25
9,5,30
9,5,35
9,5,40
9,5,45
9,5,50
9,5,55
9,5,60
9,5,65
9,5,70
9,5,75
9,5,80
9,5,85
9,10,5
9,10,10
9,10,15
9,10,20
9,10,25
9,10,30
9,10,35
9,10,40
9,10,45
9,10,50
9,10,55
9,10,60
9,10,65
9,10,70
9,10,75
9,10,80
9,10,85
9,15,5
9,15,10
9,15,15
9,15,20
9,15,25
9,15,30
9,15,35
9,15,40
9,15,45
9,15,50
9,15,55
9,15,60
9,15,65
9,15,70
9,15,75
9,15,80
9,15,85
9,20,5
9,20,10
9,20,15
9,20,20
9,20,25
9,20,30
9,20,35
9,20,40
9,20,45
9,20,50
9,20,55
9,20,60
9,20,65
9,20,70
9,20,75
9,20,80
9,20,85
9,25,20
9,25,25
9,25,30
9,25,35
9,25,40
9,25,45
9,25,50
9,25,55
9,25,60
9,25,65
9,25,70
9,25,75
9,25,80
9,25,85
9,30,30
9,30,35
9,30,40
9,30,45
9,30,50
9,30,55
9,30,60
9,30,65
9,30,70
9,30,75
9,30,80
9,30,85
9,35,30
9,35,35
9,35,40
9,35,45
9,35,50
9,35,55
9,35,60
9,35,65
9,35,70
9,35,75
9,35,80
9,35,85
9,40,25
9,40,30
9,40,35
9,40,40
9,40,45
9,40,50
9,40,55
9,40,60
9,40,65
9,40,70
9,40,75
9,40,80
9,40,85
9,45,25
9,45,30
9,45,35
9,45,40
9,45,45
9,45,50
9,45,55
9,45,60
9,45,65
9,45,70
9,45,75
9,45,80
9,45,85
10,50,64
10,49,70
10,50,75
10,49,80
10,49,85
10,54,73
10,55,78
10,54,82
10,55,86
10,60,70
10,60,75
10,60,80
10,60,85
10,65,70
10,65,75
10,65,80
10,65,85
10,70,70
10,70,75
10,70,80
10,70,85
10,75,69
10,75,75
10,75,80
10,75,85
10,80,69
10,80,74
10,80,79
10,80,84
10,85,69
10,85,74
10,85,79
10,85,84
11,5,5
11,5,10
11,5,15
11,5,20
11,5,25
11,5,30
11,5,35
11,5,40
11,5,80
11,5,85
11,10,5
11,10,10
11,10,15
11,10,20
11,10,25
11,10,30
11,10,35
11,10,40
11,10,80
11,10,85
11,15,5
11,15,10
11,15,15
11,15,20
11,15,25
11,15,30
11,15,35
11,15,40
11,15,85
11,20,5
11,20,10
11,20,15
11,20,20
11,20,25
11,20,30
11,20,35
11,20,40
11,25,5
11,25,10
11,25,15
11,25,20
11,25,25
11,25,30
11,25,35
11,25,40
11,30,5
11,30,10
11,30,15
11,30,20
11,30,25
11,30,30
11,30,35
11,30,40
11,35,5
11,35,10
11,35,15
11,35,20
11,35,25
11,35,30
11,35,35
11,35,40
11,35,45
11,40,5
11,40,10
11,40,15
11,40,20
11,40,25
11,40,30
11,40,35
11,40,40
11,40,45
11,45,5
11,45,10
11,45,15
11,45,20
11,45,25
11,45,30
11,45,35
11,45,40
11,45,45
11,45,85
11,50,5
11,50,10
11,50,15
11,50,20
11,50,25
11,50,30
11,50,35
11,50,40
11,50,45
11,50,75
11,50,80
11,50,85
11,55,5
11,55,10
11,55,15
11,55,20
11,55,25
11,55,30
11,55,35
11,55,40
11,55,45
11,55,75
11,55,80
11,55,85
11,60,5
11,60,10
11,60,15
11,60,20
11,60,25
11,60,30
11,60,35
11,60,40
11,60,45
11,60,75
11,60,80
11,60,85
11,65,5
11,65,10
11,65,15
11,65,20
11,65,25
11,65,30
11,65,35
11,65,40
11,65,45
11,65,65
11,65,70
11,65,75
11,65,80
11,65,85
11,70,5
11,70,10
11,70,15
11,70,20
11,70,25
11,70,30
11,70,35
11,70,40
11,70,45
11,70,65
11,70,70
11,70,75
11,70,80
11,70,85
11,75,5
11,75,10
11,75,15
11,75,20
11,75,25
11,75,30
11,75,35
11,75,40
11,75,45
11,75,65
11,75,70
11,75,75
11,75,80
11,75,85
11,80,5
11,80,10
11,80,15
11,80,20
11,80,25
11,80,30
11,80,35
11,80,40
11,80,45
11,80,65
11,80,70
11,80,75
11,80,80
11,80,85
11,85,5
11,85,10
11,85,15
11,85,20
11,85,25
11,85,30
11,85,35
11,85,40
11,85,45
11,85,50
11,85,55
11,85,60
11,85,65
11,85,70
11,85,75
11,85,80
11,85,85
12,5,5
12,5,10
12,5,15
12,5,20
12,5,25
12,5,30
12,5,35
12,5,40
12,5,45
12,5,50
12,5,55
12,5,60
12,5,65
12,5,70
12,5,75
12,5,80
12,5,85
12,10,5
12,10,10
12,10,15
12,10,20
12,10,25
12,10,30
12,10,35
12,10,40
12,10,45
12,10,50
12,10,55
12,10,60
12,10,65
12,10,70
12,10,75
12,10,80
12,10,85
12,15,5
12,15,10
12,15,15
12,15,20
12,15,25
12,15,30
12,15,35
12,15,40
12,15,45
12,15,50
12,15,55
12,15,75
12,15,80
12,15,85
12,20,5
12,20,10
12,20,15
12,20,20
12,20,25
12,20,30
12,20,35
12,20,40
12,20,45
12,20,75
12,20,80
12,20,85
12,25,5
12,25,10
12,25,15
12,25,20
12,25,25
12,25,30
12,25,35
12,25,40
12,25,45
12,25,75
12,25,80
12,25,85
12,30,5
12,30,10
12,30,15
12,30,20
12,30,25
12,30,30
12,30,35
12,30,40
12,30,45
12,30,75
12,30,80
12,30,85
12,35,5
12,35,10
12,35,15
12,35,75
12,35,80
12,35,85
12,40,5
12,40,10
12,40,15
12,40,75
12,40,80
12,40,85
